id,sender_id,chat_id,content,created_at,date
104,6,dm-general,"Okay, sounds good.",2026-07-03 18:08:00,2026-07-03
105,5,dm-general,Let's connect later.,2026-07-03 08:41:00,2026-07-03
106,5,group-project,Meeting at 5?,2026-07-03 15:07:00,2026-07-03
107,7,group-design,"Sure, I'll complete it today.",2026-07-03 19:33:00,2026-07-03
108,6,group-design,"Okay, sounds good.",2026-07-04 15:46:00,2026-07-04
109,8,group-project,"I'm good, working on the messenger project.",2026-07-04 18:18:00,2026-07-04
110,6,group-design,Meeting at 5?,2026-07-04 15:34:00,2026-07-04
111,8,dm-general,Meeting at 5?,2026-07-04 16:16:00,2026-07-04
112,9,group-design,Thanks for the update!,2026-07-04 15:50:00,2026-07-04
113,1,group-project,"Sounds good, checking now.",2026-07-04 12:37:00,2026-07-04
114,8,group-project,Thanks for the update!,2026-07-04 08:47:00,2026-07-04
115,8,group-design,Great! Don't forget to add file sharing feature.,2026-07-04 21:48:00,2026-07-04
116,3,dm-general,"Yep, see you then.",2026-07-04 14:48:00,2026-07-04
117,2,dm-general,Great! Don't forget to add file sharing feature.,2026-07-04 13:23:00,2026-07-04
118,3,group-design,"Sure, I'll complete it today.",2026-07-04 14:22:00,2026-07-04
119,9,group-project,Meeting at 5?,2026-07-04 19:54:00,2026-07-04
120,5,dm-general,"I'm good, working on the messenger project.",2026-07-04 08:12:00,2026-07-04
121,4,group-design,Can you review my PR?,2026-07-04 19:04:00,2026-07-04
122,6,group-project,No problem 👍,2026-07-04 20:08:00,2026-07-04
123,9,group-design,Hey! How are you?,2026-07-04 14:54:00,2026-07-04
124,3,group-design,Hey! How are you?,2026-07-04 14:55:00,2026-07-04
125,4,group-design,Thanks for the update!,2026-07-04 18:50:00,2026-07-04
126,6,dm-general,No problem 👍,2026-07-05 13:29:00,2026-07-05
127,6,group-project,Can you review my PR?,2026-07-05 19:14:00,2026-07-05
128,9,dm-general,"Yep, see you then.",2026-07-05 12:51:00,2026-07-05
129,4,dm-general,Meeting at 5?,2026-07-05 19:19:00,2026-07-05
130,3,group-design,Great! Don't forget to add file sharing feature.,2026-07-05 09:08:00,2026-07-05
131,1,group-project,"Okay, sounds good.",2026-07-05 07:26:00,2026-07-05
132,6,group-project,"Yep, see you then.",2026-07-05 08:48:00,2026-07-05
133,9,group-design,No problem 👍,2026-07-05 11:11:00,2026-07-05
134,5,group-project,"I'm good, working on the messenger project.",2026-07-05 18:17:00,2026-07-05
135,9,dm-general,Meeting at 5?,2026-07-05 19:48:00,2026-07-05
136,5,group-design,Great! Don't forget to add file sharing feature.,2026-07-05 22:53:00,2026-07-05
137,3,dm-general,"Sounds good, checking now.",2026-07-05 09:57:00,2026-07-05
138,5,group-design,"Okay, sounds good.",2026-07-05 20:04:00,2026-07-05
139,7,dm-general,Let's connect later.,2026-07-05 08:26:00,2026-07-05
140,7,dm-general,"Sure, I'll complete it today.",2026-07-05 20:14:00,2026-07-05
141,10,group-project,Let's connect later.,2026-07-06 13:44:00,2026-07-06
142,4,dm-general,Can you review my PR?,2026-07-06 07:43:00,2026-07-06
143,5,group-design,Thanks for the update!,2026-07-06 09:08:00,2026-07-06
144,8,dm-general,Great! Don't forget to add file sharing feature.,2026-07-06 18:43:00,2026-07-06
145,8,group-project,No problem 👍,2026-07-06 22:40:00,2026-07-06
146,5,dm-general,Let's connect later.,2026-07-06 22:09:00,2026-07-06
147,6,dm-general,No problem 👍,2026-07-06 07:48:00,2026-07-06
148,4,dm-general,Can you review my PR?,2026-07-06 17:18:00,2026-07-06
149,7,group-project,Hey! How are you?,2026-07-06 18:50:00,2026-07-06
150,6,group-design,"Yep, see you then.",2026-07-06 22:22:00,2026-07-06
151,6,group-design,"Yep, see you then.",2026-07-06 14:28:00,2026-07-06
152,8,group-project,Great! Don't forget to add file sharing feature.,2026-07-06 13:58:00,2026-07-06
153,4,group-design,"Sure, I'll complete it today.",2026-07-06 12:33:00,2026-07-06
154,5,dm-general,"Sure, I'll complete it today.",2026-07-06 10:25:00,2026-07-06
155,9,dm-general,Great! Don't forget to add file sharing feature.,2026-07-06 08:47:00,2026-07-06
156,1,dm-general,Great! Don't forget to add file sharing feature.,2026-07-06 20:46:00,2026-07-06
157,1,group-design,"Sure, I'll complete it today.",2026-07-06 15:39:00,2026-07-06
158,3,group-project,No problem 👍,2026-07-06 14:48:00,2026-07-06
159,3,group-design,"Okay, sounds good.",2026-07-06 09:39:00,2026-07-06
160,10,group-design,Hey! How are you?,2026-07-06 12:58:00,2026-07-06
161,2,group-project,"I'm good, working on the messenger project.",2026-07-06 18:46:00,2026-07-06
162,7,group-design,Can you review my PR?,2026-07-06 22:12:00,2026-07-06
163,1,group-project,No problem 👍,2026-07-06 19:43:00,2026-07-06
164,5,dm-general,Great! Don't forget to add file sharing feature.,2026-07-06 09:49:00,2026-07-06
165,1,group-project,Thanks for the update!,2026-07-06 10:05:00,2026-07-06
166,8,group-project,"Yep, see you then.",2026-07-06 20:04:00,2026-07-06
167,8,group-design,Let's connect later.,2026-07-07 21:29:00,2026-07-07
168,8,dm-general,"Sure, I'll complete it today.",2026-07-07 17:44:00,2026-07-07
169,9,dm-general,"Okay, sounds good.",2026-07-07 09:31:00,2026-07-07
170,2,group-project,"Sure, I'll complete it today.",2026-07-07 16:11:00,2026-07-07
171,7,group-project,"Okay, sounds good.",2026-07-07 18:52:00,2026-07-07
172,2,group-design,Let's connect later.,2026-07-07 22:04:00,2026-07-07
173,3,group-design,Great! Don't forget to add file sharing feature.,2026-07-07 12:10:00,2026-07-07
174,8,dm-general,Can you review my PR?,2026-07-07 21:22:00,2026-07-07
175,1,group-design,Can you review my PR?,2026-07-07 14:45:00,2026-07-07
176,7,group-design,No problem 👍,2026-07-07 15:56:00,2026-07-07
177,8,group-design,"I'm good, working on the messenger project.",2026-07-07 12:15:00,2026-07-07
178,6,dm-general,"Yep, see you then.",2026-07-07 12:32:00,2026-07-07
179,9,group-design,"Okay, sounds good.",2026-07-07 17:27:00,2026-07-07
180,6,dm-general,"Sure, I'll complete it today.",2026-07-07 10:59:00,2026-07-07
181,5,group-design,Can you review my PR?,2026-07-07 14:50:00,2026-07-07
182,2,group-project,Let's connect later.,2026-07-07 19:25:00,2026-07-07
183,5,group-project,Thanks for the update!,2026-07-07 11:28:00,2026-07-07
184,10,group-design,"Sure, I'll complete it today.",2026-07-07 16:04:00,2026-07-07
185,10,dm-general,Great! Don't forget to add file sharing feature.,2026-07-07 08:37:00,2026-07-07
186,2,group-project,Great! Don't forget to add file sharing feature.,2026-07-07 20:53:00,2026-07-07
187,7,group-design,"Yep, see you then.",2026-07-07 16:54:00,2026-07-07
188,9,group-design,"I'm good, working on the messenger project.",2026-07-08 07:01:00,2026-07-08
189,8,group-project,Meeting at 5?,2026-07-08 17:56:00,2026-07-08
190,2,group-design,"Okay, sounds good.",2026-07-08 18:47:00,2026-07-08
191,10,group-project,"Sounds good, checking now.",2026-07-08 07:05:00,2026-07-08
192,1,group-design,Thanks for the update!,2026-07-08 17:44:00,2026-07-08
193,9,dm-general,Can you review my PR?,2026-07-08 18:33:00,2026-07-08
194,5,group-design,Meeting at 5?,2026-07-08 07:21:00,2026-07-08
195,1,group-project,Meeting at 5?,2026-07-08 13:34:00,2026-07-08
196,3,group-design,Hey! How are you?,2026-07-08 20:19:00,2026-07-08
197,1,group-project,Great! Don't forget to add file sharing feature.,2026-07-08 20:55:00,2026-07-08
198,1,group-design,"Yep, see you then.",2026-07-08 19:19:00,2026-07-08
199,10,group-project,"I'm good, working on the messenger project.",2026-07-08 16:30:00,2026-07-08
200,5,group-design,Thanks for the update!,2026-07-08 18:17:00,2026-07-08
201,10,group-design,Meeting at 5?,2026-07-08 15:41:00,2026-07-08
202,2,group-project,No problem 👍,2026-07-08 10:00:00,2026-07-08
203,9,dm-general,"I'm good, working on the messenger project.",2026-07-08 17:56:00,2026-07-08
204,1,group-project,Let's connect later.,2026-07-08 21:00:00,2026-07-08
205,6,group-project,Meeting at 5?,2026-07-08 22:40:00,2026-07-08
206,5,group-design,"Sounds good, checking now.",2026-07-08 19:50:00,2026-07-08
207,5,dm-general,Can you review my PR?,2026-07-08 15:07:00,2026-07-08
208,4,group-design,Meeting at 5?,2026-07-08 17:15:00,2026-07-08
209,4,group-project,"Sure, I'll complete it today.",2026-07-08 20:31:00,2026-07-08
210,5,group-design,Great! Don't forget to add file sharing feature.,2026-07-09 08:36:00,2026-07-09
211,1,group-design,Meeting at 5?,2026-07-09 21:44:00,2026-07-09
212,1,dm-general,No problem 👍,2026-07-09 14:18:00,2026-07-09
213,7,dm-general,No problem 👍,2026-07-09 18:21:00,2026-07-09
214,9,group-project,"Sounds good, checking now.",2026-07-09 16:34:00,2026-07-09
215,2,group-project,Let's connect later.,2026-07-09 11:06:00,2026-07-09
216,7,group-project,"Sounds good, checking now.",2026-07-09 10:06:00,2026-07-09
217,7,dm-general,Hey! How are you?,2026-07-09 13:31:00,2026-07-09
218,5,group-design,"Yep, see you then.",2026-07-09 15:33:00,2026-07-09
219,6,group-design,"Okay, sounds good.",2026-07-09 15:53:00,2026-07-09
220,7,group-design,"Okay, sounds good.",2026-07-09 19:38:00,2026-07-09
221,7,dm-general,"I'm good, working on the messenger project.",2026-07-09 15:02:00,2026-07-09
222,10,group-design,Let's connect later.,2026-07-09 15:10:00,2026-07-09
223,7,group-design,No problem 👍,2026-07-09 16:13:00,2026-07-09
224,6,dm-general,"Sounds good, checking now.",2026-07-09 10:24:00,2026-07-09
225,9,group-project,Meeting at 5?,2026-07-09 21:11:00,2026-07-09
226,1,group-design,Can you review my PR?,2026-07-09 17:21:00,2026-07-09
227,4,dm-general,Can you review my PR?,2026-07-09 13:19:00,2026-07-09
228,7,dm-general,"Yep, see you then.",2026-07-09 07:25:00,2026-07-09
229,7,dm-general,Thanks for the update!,2026-07-09 14:34:00,2026-07-09
230,6,group-project,Great! Don't forget to add file sharing feature.,2026-07-09 20:59:00,2026-07-09
231,4,group-project,"I'm good, working on the messenger project.",2026-07-09 11:59:00,2026-07-09
232,3,group-design,Thanks for the update!,2026-07-09 12:50:00,2026-07-09
233,10,group-design,Let's connect later.,2026-07-09 09:46:00,2026-07-09
234,10,group-project,Thanks for the update!,2026-07-09 11:18:00,2026-07-09
235,2,dm-general,No problem 👍,2026-07-09 08:38:00,2026-07-09
236,2,group-design,No problem 👍,2026-07-09 20:09:00,2026-07-09
237,10,group-project,"Sure, I'll complete it today.",2026-07-09 19:35:00,2026-07-09
238,4,group-project,Meeting at 5?,2026-07-09 16:06:00,2026-07-09
239,2,dm-general,"I'm good, working on the messenger project.",2026-07-10 17:26:00,2026-07-10
240,8,dm-general,"Sure, I'll complete it today.",2026-07-10 09:09:00,2026-07-10
241,3,group-project,Let's connect later.,2026-07-10 13:14:00,2026-07-10
242,6,group-design,"Okay, sounds good.",2026-07-10 17:56:00,2026-07-10
243,3,group-project,"Sure, I'll complete it today.",2026-07-10 17:58:00,2026-07-10
244,7,group-project,No problem 👍,2026-07-10 15:37:00,2026-07-10
245,10,group-project,Can you review my PR?,2026-07-10 10:24:00,2026-07-10
246,4,dm-general,Let's connect later.,2026-07-10 16:26:00,2026-07-10
247,6,group-project,"Okay, sounds good.",2026-07-10 20:21:00,2026-07-10
248,5,group-project,"Yep, see you then.",2026-07-10 16:55:00,2026-07-10
249,6,group-project,Great! Don't forget to add file sharing feature.,2026-07-10 07:17:00,2026-07-10
250,7,group-design,No problem 👍,2026-07-10 20:27:00,2026-07-10
251,5,group-project,"Sounds good, checking now.",2026-07-10 09:58:00,2026-07-10
252,4,dm-general,Meeting at 5?,2026-07-10 12:07:00,2026-07-10
253,1,group-project,Can you review my PR?,2026-07-10 19:17:00,2026-07-10
254,9,group-design,Can you review my PR?,2026-07-10 16:51:00,2026-07-10
255,4,group-project,"Sounds good, checking now.",2026-07-10 14:27:00,2026-07-10
256,8,dm-general,Meeting at 5?,2026-07-10 19:36:00,2026-07-10
257,7,group-project,Can you review my PR?,2026-07-10 13:45:00,2026-07-10
258,7,dm-general,Great! Don't forget to add file sharing feature.,2026-07-10 20:24:00,2026-07-10
259,2,dm-general,"I'm good, working on the messenger project.",2026-07-10 10:03:00,2026-07-10
260,7,group-design,"Yep, see you then.",2026-07-10 08:02:00,2026-07-10
261,5,group-design,Meeting at 5?,2026-07-10 21:29:00,2026-07-10
262,8,group-project,Hey! How are you?,2026-07-10 18:57:00,2026-07-10
263,6,group-design,"Okay, sounds good.",2026-07-10 14:39:00,2026-07-10
264,4,group-design,Hey! How are you?,2026-07-10 18:38:00,2026-07-10
265,9,group-design,Great! Don't forget to add file sharing feature.,2026-07-10 15:46:00,2026-07-10
266,2,group-project,"Sure, I'll complete it today.",2026-07-10 15:52:00,2026-07-10
267,1,group-project,Hey! How are you?,2026-07-10 11:13:00,2026-07-10
268,5,dm-general,Meeting at 5?,2026-07-10 14:52:00,2026-07-10
269,1,group-project,Great! Don't forget to add file sharing feature.,2026-07-10 13:51:00,2026-07-10
270,6,dm-general,Let's connect later.,2026-07-10 16:14:00,2026-07-10
271,2,group-project,Great! Don't forget to add file sharing feature.,2026-07-10 18:45:00,2026-07-10
272,4,group-design,Hey! How are you?,2026-07-10 18:01:00,2026-07-10
273,2,dm-general,Let's connect later.,2026-07-11 19:57:00,2026-07-11
274,10,group-project,"Sure, I'll complete it today.",2026-07-11 07:32:00,2026-07-11
275,10,dm-general,Thanks for the update!,2026-07-11 21:57:00,2026-07-11
276,6,dm-general,Great! Don't forget to add file sharing feature.,2026-07-11 15:56:00,2026-07-11
277,4,group-project,Meeting at 5?,2026-07-11 12:31:00,2026-07-11
278,2,dm-general,"I'm good, working on the messenger project.",2026-07-11 13:48:00,2026-07-11
279,3,group-project,"Sure, I'll complete it today.",2026-07-11 20:38:00,2026-07-11
280,4,dm-general,Thanks for the update!,2026-07-11 07:27:00,2026-07-11
281,7,group-project,Hey! How are you?,2026-07-11 17:57:00,2026-07-11
282,1,dm-general,"I'm good, working on the messenger project.",2026-07-11 07:03:00,2026-07-11
283,9,group-project,Thanks for the update!,2026-07-11 08:54:00,2026-07-11
284,2,group-design,Can you review my PR?,2026-07-11 18:58:00,2026-07-11
285,5,dm-general,Meeting at 5?,2026-07-11 10:32:00,2026-07-11
286,10,group-project,"Sounds good, checking now.",2026-07-11 15:04:00,2026-07-11
287,6,dm-general,"Sounds good, checking now.",2026-07-11 17:51:00,2026-07-11
288,2,group-design,"Sounds good, checking now.",2026-07-12 08:36:00,2026-07-12
289,7,dm-general,Let's connect later.,2026-07-12 22:04:00,2026-07-12
290,10,group-project,"I'm good, working on the messenger project.",2026-07-12 07:49:00,2026-07-12
291,3,group-design,"Sure, I'll complete it today.",2026-07-12 09:21:00,2026-07-12
292,6,dm-general,Great! Don't forget to add file sharing feature.,2026-07-12 22:42:00,2026-07-12
293,2,dm-general,Can you review my PR?,2026-07-12 15:58:00,2026-07-12
294,9,group-project,Thanks for the update!,2026-07-12 21:02:00,2026-07-12
295,4,dm-general,No problem 👍,2026-07-12 16:48:00,2026-07-12
296,9,group-project,"I'm good, working on the messenger project.",2026-07-12 15:47:00,2026-07-12
297,1,dm-general,Hey! How are you?,2026-07-12 15:15:00,2026-07-12
298,1,group-design,Thanks for the update!,2026-07-12 19:38:00,2026-07-12
299,5,group-design,Thanks for the update!,2026-07-12 11:09:00,2026-07-12
300,2,group-design,Let's connect later.,2026-07-12 08:25:00,2026-07-12
301,1,group-project,"Sounds good, checking now.",2026-07-12 08:09:00,2026-07-12
302,1,group-project,Thanks for the update!,2026-07-12 18:49:00,2026-07-12
303,4,dm-general,"I'm good, working on the messenger project.",2026-07-12 15:18:00,2026-07-12
304,9,group-design,"Sure, I'll complete it today.",2026-07-12 20:58:00,2026-07-12
305,1,group-design,Hey! How are you?,2026-07-12 18:01:00,2026-07-12
306,4,group-design,Can you review my PR?,2026-07-12 09:41:00,2026-07-12
307,2,dm-general,"Okay, sounds good.",2026-07-12 22:31:00,2026-07-12
308,9,group-design,"Sure, I'll complete it today.",2026-07-12 16:29:00,2026-07-12
309,9,group-design,Thanks for the update!,2026-07-12 11:55:00,2026-07-12
310,5,group-design,Can you review my PR?,2026-07-13 17:59:00,2026-07-13
311,2,dm-general,Let's connect later.,2026-07-13 18:21:00,2026-07-13
312,7,group-design,"Sure, I'll complete it today.",2026-07-13 07:13:00,2026-07-13
313,2,dm-general,Can you review my PR?,2026-07-13 08:53:00,2026-07-13
314,6,group-project,Hey! How are you?,2026-07-13 15:07:00,2026-07-13
315,6,group-project,Let's connect later.,2026-07-13 09:38:00,2026-07-13
316,3,group-design,Let's connect later.,2026-07-13 22:58:00,2026-07-13
317,4,group-project,"I'm good, working on the messenger project.",2026-07-13 10:23:00,2026-07-13
318,6,dm-general,Let's connect later.,2026-07-13 13:28:00,2026-07-13
319,9,group-project,Let's connect later.,2026-07-13 18:25:00,2026-07-13
320,8,group-project,"Okay, sounds good.",2026-07-13 16:20:00,2026-07-13
321,10,group-design,"I'm good, working on the messenger project.",2026-07-13 12:06:00,2026-07-13
322,6,dm-general,Meeting at 5?,2026-07-13 09:25:00,2026-07-13
323,9,dm-general,"I'm good, working on the messenger project.",2026-07-13 07:03:00,2026-07-13
324,1,dm-general,"Yep, see you then.",2026-07-13 15:36:00,2026-07-13
325,8,group-project,Hey! How are you?,2026-07-13 19:34:00,2026-07-13
326,8,dm-general,Let's connect later.,2026-07-13 15:11:00,2026-07-13
327,8,group-design,Let's connect later.,2026-07-13 14:49:00,2026-07-13
328,3,group-design,No problem 👍,2026-07-13 09:28:00,2026-07-13
329,8,group-design,"I'm good, working on the messenger project.",2026-07-13 13:22:00,2026-07-13
330,8,group-design,"Sure, I'll complete it today.",2026-07-13 11:26:00,2026-07-13
331,10,group-design,"Sounds good, checking now.",2026-07-13 16:49:00,2026-07-13
332,9,group-project,Great! Don't forget to add file sharing feature.,2026-07-13 10:45:00,2026-07-13
333,4,group-design,"Sounds good, checking now.",2026-07-13 08:03:00,2026-07-13
334,6,group-project,Can you review my PR?,2026-07-13 18:17:00,2026-07-13
335,2,group-design,"Yep, see you then.",2026-07-13 18:28:00,2026-07-13
336,5,group-design,"Okay, sounds good.",2026-07-13 12:28:00,2026-07-13
337,10,dm-general,Great! Don't forget to add file sharing feature.,2026-07-13 07:17:00,2026-07-13
338,2,dm-general,Thanks for the update!,2026-07-13 16:37:00,2026-07-13
339,5,dm-general,Great! Don't forget to add file sharing feature.,2026-07-13 09:38:00,2026-07-13
340,3,dm-general,Let's connect later.,2026-07-13 15:48:00,2026-07-13
341,3,dm-general,"Yep, see you then.",2026-07-13 19:40:00,2026-07-13
342,3,group-project,"Sounds good, checking now.",2026-07-13 20:28:00,2026-07-13
343,7,group-project,Let's connect later.,2026-07-13 11:21:00,2026-07-13
344,3,group-design,Can you review my PR?,2026-07-13 19:35:00,2026-07-13
345,7,dm-general,No problem 👍,2026-07-13 20:06:00,2026-07-13
346,5,group-project,Can you review my PR?,2026-07-14 11:13:00,2026-07-14
347,7,dm-general,Hey! How are you?,2026-07-14 18:10:00,2026-07-14
348,2,group-project,Let's connect later.,2026-07-14 08:58:00,2026-07-14
349,5,group-project,"Okay, sounds good.",2026-07-14 08:17:00,2026-07-14
350,5,dm-general,Hey! How are you?,2026-07-14 08:42:00,2026-07-14
351,9,group-project,Can you review my PR?,2026-07-14 15:08:00,2026-07-14
352,3,group-design,Meeting at 5?,2026-07-14 13:47:00,2026-07-14
353,1,dm-general,"I'm good, working on the messenger project.",2026-07-14 09:22:00,2026-07-14
